id,systems,source,name_en,name_uk,text_en,text_uk,effects,class_id,level,resource
barbarian-rage,5.5e,SRD,Rage,,"You can imbue yourself with a primal power called Rage, a force that grants you extraordinary might and resilience. You can enter it as a Bonus Action if you aren't wearing Heavy armor.
You can enter your Rage the number of times shown for your Barbarian level in the Rages column of the Barbarian Features table. You regain one expended use when you finish a Short Rest, and you regain all expended uses when you finish a Long Rest.
While active, your Rage follows the rules below.
_Damage Resistance._ You have Resistance to Bludgeoning, Piercing, and Slashing damage.
_Rage Damage._ When you make an attack using Strength—with either a weapon or an Unarmed Strike—and deal damage to the target, you gain a bonus to the damage that increases as you gain levels as a Barbarian, as shown in the Rage Damage column of the Barbarian Features table.
_Strength Advantage._ You have Advantage on Strength checks and Strength saving throws.
_No Concentration or Spells._ You can't maintain Concentration, and you can't cast spells.
_Duration._ The Rage lasts until the end of your next turn, and it ends early if you don Heavy armor or have the Incapacitated condition. If your Rage is still active on your next turn, you can extend the Rage for another round by doing one of the following:
- Make an attack roll against an enemy.
- Force an enemy to make a saving throw.
- Take a Bonus Action to extend your Rage.
Each time the Rage is extended, it lasts until the end of your next turn. You can maintain a Rage for up to 10 minutes.",,,barbarian,1,
barbarian-unarmored-defense,5.5e,SRD,Unarmored Defense,,"While you aren't wearing any armor, your base Armor Class equals 10 plus your Dexterity and Constitution modifiers. You can use a Shield and still gain this benefit.",,,barbarian,1,
barbarian-weapon-mastery,5.5e,SRD,Weapon Mastery,,"Your training with weapons allows you to use the mastery properties of two kinds of Simple or Martial Melee weapons of your choice, such as Greataxes and Handaxes. Whenever you finish a Long Rest, you can practice weapon drills and change one of those weapon choices.
When you reach certain Barbarian levels, you gain the ability to use the mastery properties of more kinds of weapons, as shown in the Weapon Mastery column of the Barbarian Features table.",,,barbarian,1,
barbarian-danger-sense,5.5e,SRD,Danger Sense,,"You gain an uncanny sense of when things aren't as they should be, giving you an edge when you dodge perils. You have Advantage on Dexterity saving throws unless you have the Incapacitated condition.",,,barbarian,2,
barbarian-reckless-attack,5.5e,SRD,Reckless Attack,,"You can throw aside all concern for defense to attack with increased ferocity. When you make your first attack roll on your turn, you can decide to attack recklessly. Doing so gives you Advantage on attack rolls using Strength until the start of your next turn, but attack rolls against you have Advantage during that time.",,,barbarian,2,
barbarian-barbarian-subclass,5.5e,SRD,Barbarian Subclass,,"You gain a Barbarian subclass of your choice. The Path of the Berserker subclass is detailed after this class's description. A subclass is a specialization that grants you features at certain Barbarian levels. For the rest of your career, you gain each of your subclass's features that are of your Barbarian level or lower.",,,barbarian,3,
barbarian-primal-knowledge,5.5e,SRD,Primal Knowledge,,"You gain proficiency in another skill of your choice from the skill list available to Barbarians at level 1.
In addition, while your Rage is active, you can channel primal power when you attempt certain tasks; whenever you make an ability check using one of the following skills, you can make it as a Strength check even if it normally uses a different ability: Acrobatics, Intimidation, Perception, Stealth, or Survival. When you use this ability, your Strength represents primal power coursing through you, honing your agility, bearing, and senses.",,,barbarian,3,
barbarian-ability-score-improvement,5.5e,SRD,Ability Score Improvement,,"You gain the Ability Score Improvement feat (see ""Feats"") or another feat of your choice for which you qualify. You gain this feature again at Barbarian levels 8, 12, and 16.",,,barbarian,4,
barbarian-extra-attack,5.5e,SRD,Extra Attack,,You can attack twice instead of once whenever you take the Attack action on your turn.,,,barbarian,5,
barbarian-fast-movement,5.5e,SRD,Fast Movement,,Your speed increases by 10 feet while you aren't wearing Heavy armor.,,,barbarian,5,
