id,systems,source,name_en,name_uk,text_en,text_uk,effects,size,creature_type,alignment,ac,hp,hp_formula,speed,str,dex,con,int,wis,cha,cr,senses,languages,skills
aboleth,5e,SRD 5.1,Aboleth,,"Amphibious. The aboleth can breathe air and water.
Mucous Cloud. While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 feet of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.
Probing Telepathy. If a creature communicates telepathically with the aboleth, the aboleth learns the creature’s greatest desires if the aboleth can see the creature.
Actions.
Multiattack. The aboleth makes three tentacle attacks.
Tentacle. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature’s skin becomes translucent and slimy, the creature can’t regain hit points unless it is underwater, and the disease can be removed only by heal or another disease--curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed.
Tail. Melee Weapon Attack: +9 to hit, reach 10 ft. one target. Hit:15 (3d6 + 5) bludgeoning damage.
Enslave (3/Day). The aboleth targets one creature it can see within 30 feet of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth’s control and can’t take reactions, and the aboleth and the target can communicate telepathically with each other over any distance. Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth. The aboleth can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The aboleth regains spent legendary actions at the start of its turn.
Detect. The aboleth makes a Wisdom (Perception) check. 
Tail Swipe. The aboleth makes one tail attack.
Psychic Drain (Costs 2 Actions). One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.",,,large,aberration,lawful evil,17,135,18d10 + 36,"10 ft., swim 40 ft.",21,9,15,18,15,18,10,"darkvision 120 ft., passive Perception 20",,"History +12, Perception +10"
deva,5e,SRD 5.1,Deva,,"Angelic Weapons. The deva’s weapon attacks are magical. When the deva hits with any weapon, the weapon deals an extra 4d8 radiant damage (included in the attack).
Innate Spellcasting. The deva’s spellcasting ability is Charisma (spell save DC 17). The deva can innately cast the following spells, requiring only verbal components: At will: detect evil and good1/day each: commune, raise dead
Magic Resistance. The deva has advantage on saving throws against spells and other magical effects.
Actions.
Multiattack. The deva makes two melee attacks.
Mace. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage plus 18 (4d8) radiant damage.
Healing Touch (3/Day). The deva touches another creature. The target magically regains 20 (4d8 + 2) hit points and is freed from any curse, disease, poison, blindness, or deafness.
Change Shape. The deva magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the deva’s choice).  In a new form, the deva retains its game statistics and ability to speak, but its AC, movement modes, Strength, Dexterity, and special senses are replaced by those of the new form, and it gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that it lacks.",,,medium,celestial,lawful good,17,136,16d8 + 64,"30 ft., fly 90 ft.",18,18,18,17,20,20,10,"darkvision 120 ft., passive Perception 19",,"Insight +9, Perception +9"
planetar,5e,SRD 5.1,Planetar,,"Angelic Weapons. The planetar’s weapon attacks are magical. When the planetar hits with any weapon, the weapon deals an extra 5d8 radiant damage (included in the attack).
Divine Awareness. The planetar knows if it hears a lie.
Innate Spellcasting. The planetar’s spellcasting ability is Charisma (spell save DC 20). The planetar can innately cast the following spells, requiring no material components: Atwill: detect evil and good, invisibility (self only)3/day each: blade barrier, dispel evil and good, flame strike , raise dead 1/day each: commune, control weather, insect plague
Magic Resistance. The planetar has advantage on saving throws against spells and other magical effects.
Actions.
Multiattack. The planetar makes two melee attacks.
Greatsword. Melee Weapon Attack:+12 to hit, reach 5 ft., one target. Hit:21 (4d6 + 7) slashing damage plus 22 (5d8) radiant damage.
Healing Touch (4/Day). The planetar touches another creature. The target magically regains 30 (6d8 + 3) hit points and is freed from any curse, disease, poison, blindness, or deafness.",,,large,celestial,lawful good,19,200,16d10 + 112,"40 ft., fly 120 ft.",24,20,24,19,22,25,16,"truesight 120 ft., passive Perception 21",,Perception +11
solar,5e,SRD 5.1,Solar,,"Angelic Weapons. The solar’s weapon attacks are magical. When the solar hits with any weapon, the weapon deals an extra 6d8 radiant damage (included in the attack).
Divine Awareness. The solar knows if it hears a lie.
Innate Spellcasting. The solar’s spellcasting ability is Charisma (spell save DC 25). It can innately cast the following spells, requiring no material components: At will: detect evil and good, invisibility (self only) 3/day each: blade barrier, dispel evil and good, resurrection1/day each: commune, control weather
Magic Resistance. The solar has advantage on saving throws against spells and other magical effects.
Actions.
Multiattack. The solar makes two greatsword attacks.
Greatsword. Melee Weapon Attack: +15 to hit, reach 5 ft., one target. Hit: 22 (4d6 + 8) slashing damage plus 27 (6d8) radiant damage.
Slaying Longbow. Ranged Weapon Attack: +13 to hit, range 150/600 ft., one target. Hit: 15 (2d8 + 6) piercing damage plus 27 (6d8) radiant damage. If the target is a creature that has 100 hit points or fewer, it must succeed on a DC 15 Constitution saving throw or die.
Flying Sword. The solar releases its greatsword to hover magically in an unoccupied space within 5 feet of it. If the solar can see the sword, the solar can mentally command it as a bonus action to fly up to 50 feet and either make one attack against a target or return to the solar’s hands. If the hovering sword is targeted by any effect, the solar is considered to be holding it. The hovering sword falls if the solar dies.
Healing Touch (4/Day). The solar touches another creature. The target magically regains 40 (8d8 + 4) hit points and is freed from any curse, disease, poison, blindness, or deafness. The solar can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The solar regains spent legendary actions at the start of its turn.
Teleport. The solar magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.
Searing Burst (Costs 2 Actions). The solar emits magical, divine energy. Each creature of its choice in a 10--foot radius must make a DC 23 Dexterity saving throw, taking 14 (4d6) fire damage plus 14 (4d6) radiant damage on a failed save, or half as much damage on a successful one.
Blinding Gaze (Costs 3 Actions). The solar targets one creature it can see within 30 feet of it. If the target can see it, the target must succeed on a DC 15 Constitution saving throw or be blinded until magic such as the lesser restorationspell removes the blindness.",,,large,celestial,lawful good,21,243,18d10 + 144,"50 ft., fly 150 ft.",26,22,26,25,25,30,21,"truesight 120 ft., passive Perception 24",,Perception +14
animated-armor,5e,SRD 5.1,Animated Armor,,"Antimagic Susceptibility. The armor is incapacitated while in the area of an antimagic field.If targeted by dispel magic, the armor must succeed on a Constitution saving throw against the caster’s spell save DC or fall unconscious for 1 minute.
False Appearance. While the armor remains motionless, it is indistinguishable from a normal suit of armor.
Actions.
Multiattack. The armor makes two melee attacks.
Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.",,,medium,construct,unaligned,18,33,6d8 + 6,25 ft.,14,11,13,1,3,1,1,"blindsight 60 ft. (blind beyond this radius), passive Perception 6",,
flying-sword,5e,SRD 5.1,Flying Sword,,"Antimagic Susceptibility. The sword is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the sword must succeed on a Constitution saving throw against the caster’s spell save DC or fall unconscious for 1 minute.
False Appearance. While the sword remains motionless and isn’t flying, it is indistinguishable from a normal sword.
Actions.
Longsword. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage.",,,small,construct,unaligned,17,17,5d6,"0 ft., fly 50 ft. (hover)",12,15,11,1,5,1,1/4,"blindsight 60 ft. (blind beyond this radius), passive Perception 7",,
rug-of-smothering,5e,SRD 5.1,Rug of Smothering,,"Antimagic Susceptibility. The rug is incapacitated while in the area of an antimagic field.If targeted by dispel magic , the rug must succeed on a Constitution saving throw against the caster’s spell save DC or fall unconscious for 1 minute.
Damage Transfer. While it is grappling a creature, the rug takes only half the damage dealt to it, and the creature grappled by the rug takes the other half.
False Appearance. While the rug remains motionless, it is indistinguishable from a normal rug.
Actions.
Smother. Melee Weapon Attack: +5 to hit, reach 5 ft., one Medium or smaller creature. Hit:The creature is grappled (escape DC 13). Until this grapple ends, the target is restrained, blinded, and at risk of suffocating, and the rug can’t smother another target. In addition, at the start of each of the target’s turns, the target takes 10 (2d6 + 3) bludgeoning damage.",,,large,construct,unaligned,12,33,6d10,10 ft.,17,14,10,1,3,1,2,"blindsight 60 ft. (blind beyond this radius), passive Perception 6",,
ankheg,5e,SRD 5.1,Ankheg,,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage plus 3 (1d6) acid damage. If the target is a Large or smaller creature, it is grappled (escape DC 13). Until this grapple ends, the ankheg can bite only the grappled creature and has advantage on attack rolls to do so.
Acid Spray (Recharge 6). The ankheg spits acid in a line that is 30 feet long and 5 feet wide, provided that it has no creature grappled. Each creature in that line must make a DC 13 Dexterity saving throw, taking 10 (3d6) acid damage on a failed save, or half as much damage on a successful one.",,,large,monstrosity,unaligned,14,39,6d10 + 6,"30 ft., burrow 10 ft.",17,11,13,1,13,6,2,"darkvision 60 ft., tremorsense 60 ft., passive Perception 11",,
azer,5e,SRD 5.1,Azer,,"Heated Body. A creature that touches the azer or hits it with a melee attack while within 5 feet of it takes 5 (1d10) fire damage.
Heated Weapons. When the azer hits with a metal melee weapon, it deals an extra 3 (1d6) fire damage (included in the attack).
Illumination. The azer sheds bright light in a 10--foot radius and dim light for an additional 10 feet.
Actions.
Warhammer. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage, or 8 (1d10 + 3) bludgeoning damage if used with two hands to make a melee attack, plus 3 (1d6) fire damage.",,,medium,elemental,lawful neutral,17,39,6d8 + 12,30 ft.,17,12,15,12,13,10,2,passive Perception 11,,
basilisk,5e,SRD 5.1,Basilisk,,"Petrifying Gaze. If a creature starts its turn within 30 feet of the basilisk and the two of them can see each other, the basilisk can force the creature to make a DC 12 Constitution saving throw if the basilisk isn’t incapacitated. On a failed save, the creature magically begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the greater restorationspell or other magic. A creature that isn’t surprised can avert its eyes to avoid the saving throw at the start of its turn. If it does so, it can’t see the basilisk until the start of its next turn, when it can avert its eyes again. If it looks at the basilisk in the meantime, it must immediately make the save. If the basilisk sees its reflection within 30 feet of it in bright light, it mistakes itself for a rival and targets itself with its gaze.
Actions.
Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. H it:10 (2d6 + 3) piercing damage plus 7 (2d6) poison damage.",,,medium,monstrosity,unaligned,15,52,8d8 + 16,20 ft.,16,8,15,2,8,7,3,"darkvision 60 ft., passive Perception 9",,
